text,title
"Set the racks in the middle and upper thirds of the oven and preheat the oven to 425 F In a large skillet over medium heat, heat the olive oil until shimmering. Add the onion, garlic and red pepper flakes and cook until golden, stirring occasionally, about 5 minutes. Add the fennel and cook until the vegetables are soft and translucent, an additional 3 to 5 minutes. Reduce the heat to medium and add the tomatoes with their juices. Using the back of a wooden spoon, smash the tomatoes and cook for 5 minutes. Add the basil, wine, olives, 1 teaspoon salt, and 1/8 teaspoon black pepper. Reduce to low and simmer for 15 minutes, or until the sauce is slightly thickened, while you prepare the fish. Pat the fillets dry, lightly spray them with cooking spray, and season with salt and pepper. In a heavy ovenproof skillet over high heat, heat the olive oil until shimmering. Add the fillets, rounded-side down, and cook for 2 minutes. Carefully flip the fillets with a metal spatula and place the skillet in the oven. Bake until the fish is no longer translucent, 8 to 10 minutes. Switch the oven to broil and place the skillet on the upper rack. Broil until the tops of the fillets are golden brown, 2 to 4 minutes.Arrange the fillets on individual plates, spoon on the sauce, and serve.",Mediterranean Sea Bass
" Place the eggs in the air fryer basket and cook 250F 15 minutes for a softer yolk, 17 minutes for a firmer yolk (time may vary depending on the make and model of your air fryer).Run under cold water and peel right away.",Air Fryer Hard Boiled Eggs
"
Air Fryer directions:
 Preheat air fryer to 400F. Spritz the basket with olive oil. Season the salmon with lemon juice, salt and pepper. Mix the mayonnaise with basil and 2 tablespoons Parmesan cheese in a small bowl. Spread completely over the top of salmon. Sprinkle remaining Parmesan cheese on top. In batches, air fry 7 minutes, or longer depending on thickness of the salmon.
Oven directions:
 Preheat the oven to 425F. Spritz a sheet pan with olive oil. Season the salmon with lemon juice, salt and pepper. Mix the mayonnaise with basil and 2 tablespoons Parmesan cheese in a small bowl. Spread completely over the top of salmon. Sprinkle remaining Parmesan cheese on top. Bake 10 to 12 minutes, depending on thickness of the salmon. ",Air Fryer Basil-Parmesan Salmon
" Preheat the oven to 400F. Pour 2 tablespoon of grated cheese onto a silicone lined baking sheet (highly recommended for this) and lightly pat down with your fingers to make about 4 inches round. Repeat 3 more times with remaining cheese, leaving 1/2-inch space in between each circle. Bake 3 minutes, until almost done. Combine the sesame seeds, onion, garlic and poppy seeds in a small bowl. Top each with 3/4 teaspoon.Bake for 5 minutes or until golden and crisp. Cool before eating.",Everything Parmesan Crisps
" Cook potatoes in a large pot of salted water until tender, about 25 to 30 minutes. In a second pot, cover string beans with water and boil until string beans are tender, 6 to 7 minutes. Drain then quickly run under cold water to prevent them from overcooking. When the potatoes are done, drain. In a large bowl, combine balsamic, oil, salt and pepper.Add the potatoes, green beans, scallions and olives. Mix well and serve room temperature.",Potato and Green Bean Salad
"
To Make the soup:
 Heat 1 tablespoon of oil in a large pot over medium-high heat. When it shimmers, add the onions, chopped fennel bulb, and 14 teaspoon of salt, and cook, stirring occasionally, until the onions just begin to brown, 3 to 5 minutes. Stir in the kale and cook, stirring occasionally, until it wilts, 3 to 4 minutes. If any browned bits stick to the bottom of the pot while cooking, add 1 tablespoon water at a time to loosen them up. Pour in the vegetable broth and bring to a boil, then reduce the heat to low and cover. Simmer, covered, for 10 minutes. Remove the pot from the heat. Immediately stir in two-thirds of the minced garlic, then let the soup cool, uncovered, for about 10 minutes.
Meanwhile, make the gremolata:
 Heat the remaining 1 tablespoon of oil in a medium skillet over medium heat. When it shimmers, stir in the hemp seeds, remaining 14 teaspoon of salt, and remaining garlic. Spread the mixture into a single layer in the bottom of the pan, then cook, stirring and redistributing into a single layer occasionally, until the hemp and garlic are golden brown and fragrant, about 3 minutes. Transfer to a medium bowl. Chop the fennel fronds. Let cool for a few minutes, then stir in the lemon zest and fennel fronds. Add the cilantro, parsley, and lemon juice to the soup. Transfer the soup to a blender, or use an immersion blender in the pot, and blend until very smooth.Ladle the soup into 2 bowls and top with a generous amount of the gremolata. Garnish with pepper, if desired.",Green Detox Soup with Toasted Hemp Gremolata
" Preheat the to 350F degrees. Spray a pie dish with oil. Evenly spread the broccoli in the dish and top it evenly with the ham. Make the custard mixture by whisking together the milk, half and half, eggs, salt, black pepper, and the nutmeg. Pour the custard into the dish and top with Swiss Cheese. Bake 35 to 40 minutes, until the center is set.Cut the quiche into 6 pieces and serve.",Ham and Swiss Crustless Quiche
Combine sour cream and brown sugar and mix well. Place about five strawberries in each glass and drizzle each with 2 tablespoons of cream sauce. The cream can be made ahead and be refrigerated for up to 3 days.,Strawberries Romanoff
" Preheat the oven to 450F. Place a silicone liner on a large baking sheet or spray with oil if using parchment. In a medium bowl combine the flour, baking powder and salt and whisk well. Add the yogurt and mix with a fork or spatula until well combined, it will look like small crumbles. Lightly dust flour on a work surface and remove dough from the bowl, knead the dough a few times until dough is tacky, but not sticky, about 20 turns (it should not leave dough on your hand when you pull away). Divide into 4 equal balls about 3-3/8 oz each. Sprinkle a work surface and rolling pin with a little flour roll the dough out into thin ovals 7 to 8 inches in diameter and place on the prepared baking sheet. Spritz the dough with olive oil. Sprinkle everything bagel seasoning in a 1-inch boarder around the edge. Combine half of the red onion with olive oil, scatter the onion in the center of each. Transfer to the oven and bake 10 to 14 minutes, until the crust is golden and crisp. Remove from oven and dallop cream cheese in the center of each, leaving the edge clear. Top with tomato, then salmon and top with capers and dill. Preheat the air fryer to 400F.When the air fryer is ready, transfer the dough, to the basket and bake until firm and golden, 5 to 6 minutes turning once half way. Repeat with the remaining dough.",Smoked Salmon Breakfast Flatbread
,Skinnytaste Air Fryer Cookbook: Get a Free 39
